id,date,publication,author,headline,items
1,2018-01-09,Business India,Rakesh Joshi,Flood of arbitrations?,"Cairn Energy, arbitration"
2,2017-01-01,Business Standard,Bureau,Deals dominate oil & gas sector,arbitration
3,2017-01-02,Western Times,Bureau,Cos must drop retro tax cases to avail settlement scheme: CBDT,"retrospective tax, arbitration, Cairn Energy"
4,2017-01-12,Business Standard, Sayan ghosal,HC asks Cairn to go for arbitration in 2 weeks,arbitration
5,2017-01-23,Business Standard,Bureau,Budget 2017-18,arbitration
6,2017-02-04,The Financial Express, Sumit Jha,"New ways will be explored to cut tax disputes, says Adhia",arbitration
7,2017-02-13,Mint, Shreeia Sen,Have treaty arbitration cases hurt Indias investment-friendly image?,arbitration
8,2017-02-19,The Hindu, TCA Sharad Raghavan,Retro-tax disputes to run course,"retrospective tax, arbitration"
9,2017-02-22,Daily News & Analysis, Santanu Chakraborty,F&O easing to open FPI tap,"arbitration, Cairn Energy"
10,2017-02-24,The Financial Express,Bureau,Making the most of it,arbitration
11,2017-03-02,The Financial Express, Banikinkar Pattanayak,No legal cover for post-March EU investors,"retrospective tax, arbitration, Cairn Energy"
12,2017-03-09,Financial Chronicle,Bureau,I-T lifts freeze on Cairn Energy dividend payout,"arbitration, Cairn Energy"
13,2017-03-09,The Hindu Business Line,Bureau,Cairn Energy allowed to claim $51-m dividend from Cairn India,"retrospective tax, arbitration, Cairn Energy"
14,2017-03-09,Mint, Gireesh Chandra Prasad,Cairn Energy says tax dispute doesn't block India dividend,"arbitration, Cairn Energy"
15,2017-03-09,Business Standard, SHINE JACOB,"I-T dept lifts freeze on Cairn Energy payout, but bar on stake sale stays","arbitration, Cairn Energy"
16,2017-03-09,The Economic Times,Bureau,Cairn Energy May Get $51m in Dividend from Former Indian Arm,"retrospective tax, arbitration, Cairn Energy, Cairn plc"
17,2017-03-09,The Financial Express,PTI,I-T dept lifts freeze on Cairn dividend payout,"retrospective tax, arbitration, Cairn Energy"
18,2017-03-09,The Telegraph,Correspondent,Relief for Cairn Energy,"retrospective tax, arbitration, Cairn Energy"
19,2017-03-09,The Economic Times,PTI,I-T Lifts Freeze on Cairn Energy Dividend Payout.,"retrospective tax, arbitration, Cairn Energy"
20,2017-03-09,The Economic Times, Nishtha Saluja,I-T Dept May Lift Freeze on Payout to Cairn Energy by Former Local Arm,"retrospective tax, arbitration, Cairn Energy, Cairn plc"
21,2017-03-09,The Economic Times,PTI,"I-T Lifts Freeze on Cairn Energy Dividend Payout, Stake Bar Stays","retrospective tax, arbitration, Cairn Energy"
22,2017-03-09,Millennium Post,Bureau,I-T Dept lifts freeze on British Cairn Energys dividend payout,"retrospective tax, arbitration, Cairn Energy"
23,2017-03-09,The Statesman,Bureau,I-T dept lifts freeze on Cairn dividend payout,"retrospective tax, arbitration, Cairn Energy"
24,2017-03-09,The Political & Business Daily,Bureau,Income Tax dept lifts freeze on Cairn Energy dividend payout,"retrospective tax, arbitration, Cairn Energy"
25,2017-03-09,The Times Of India,PTI,Cairn Energy gets I-T nod on dividend payout,"retrospective tax, arbitration, Cairn Energy"
26,2017-03-09,The Economic Times,PTI,I-T lifts freeze on Cairn Energy dividend payout,"retrospective tax, arbitration, Cairn Energy"
27,2017-03-11,The Hindu Business Line,Bureau,"Tribunal confirms Rs 10,247-cr tax demand on Cairn UK","arbitration, Cairn plc, Cairn Energy"
28,2017-03-11,Financial Chronicle,Bureau,"Tribunal upholds Rs 10,247 cr tax on Cairn","retrospective tax, arbitration, Cairn Energy"
29,2017-03-11,The Asian Age,Correspondent,Cairn loses income tax appeal,"retrospective tax, arbitration, Cairn Energy"
30,2017-03-11,Mint, Bygireesh Chandra Prasad &Remyanair ,"I T tribunal upholds Rsl0,247 cr retroactive tax on Cairn Energy","arbitration, Cairn Energy"
31,2017-03-11,The Economic Times,Bureau,Tax Tribunal Asks Cairn UK to Pay Rs 10K Cr,"retrospective tax, arbitration, Cairn Energy"
32,2017-03-11,Hindustan Times, Gireesh Chandra Prasad and Remya Nair,"Tribunal upholds Rs10,247 crore retro tax on Cairn, but no interest","arbitration, Cairn Energy"
33,2017-03-11,The Free Press Journal,Bureau,"Cairn liable to pay Rs 10,247 cr capital gains tax: ITAT","retrospective tax, arbitration, Cairn Energy"
34,2017-03-11,Business Standard, Dilasha Seth & Jyoti Mukul,"Tribunal upholds Rs 10,000-crore tax demand on Cairn","arbitration, Cairn Energy"
35,2017-03-11,Business Standard,Bureau,"Tribunal upholds T10,000-crore tax demand on Cairn","arbitration, Cairn Energy"
36,2017-03-11,The Economic Times,Bureau,Tax Tribunal Asks Cairn UK to Pay Rs 10K Cr.,"retrospective tax, arbitration, Cairn Energy"
37,2017-03-11,The Financial Express,Bureau,"ITAT: Cairn liable for Rs 10,247-cr CG tax","arbitration, Cairn Energy"
38,2017-03-11,The Indian Express,Bureau,"'Cairn liable to pay Rs 10,247 cr capital gains tax'","retrospective tax, arbitration, Cairn Energy"
39,2017-03-11,The Times Of India,Bureau,Tribunal upholds Rs 10k-cr tax on Cairn,"retrospective tax, arbitration, Cairn Energy"
40,2017-03-11,The Telegraph,Correspondent,Tribunal blow to Cairn UK,"retrospective tax, arbitration, Cairn Energy"
41,2017-03-11,Free Press,Agencies,"Cairn liable to pay Rs 10,247 cr capital gains tax: ITAT","retrospective tax, arbitration, Cairn Energy"
42,2017-03-11,The Economic Times,Bureau,"Pay Rs10K-cr Capital Gains tax in India, IT Tribunal Tells Cairn UK","retrospective tax, arbitration, Cairn Energy"
43,2017-03-11,Deccan Chronicle,Correspondent,Cairn loses income tax appeal,"retrospective tax, arbitration, Cairn Energy"
44,2017-03-11,Deccan Herald,PTI,'Cairn must pay Rs 10k crore tax on capital gains',"retrospective tax, arbitration, Cairn Energy"
45,2017-03-11,The Pioneer,PTI,"Cairn liable to pay Rs 10,247 cr capital gains tax: Tax tribunal ITAT","retrospective tax, arbitration, Cairn Energy"
46,2017-03-11,The Political & Business Daily,Bureau,"Cairn liable to pay capital gain tax of Rs 10,247 cr: ITAT","retrospective tax, arbitration, Cairn Energy"
47,2017-03-11,The Tribune,PTI,"Cairn Energy liable to pay Rs 10,247-cr tax: I-T tribunal","retrospective tax, arbitration, Cairn Energy"
48,2017-03-11,The Economic Times,Bureau,"Pay Rs 10,000 crore, Tax Tribunal tells Cairn UK","retrospective tax, arbitration, Cairn Energy"
49,2017-03-11,The Economic Times,Bureau,"Pay Rs 10k-cr Capital Gains Tax Here, Tribunal Tells Cairn UK.","retrospective tax, arbitration, Cairn Energy"
50,2017-03-11,The Pioneer,PTI,Cairn liable to pay Rs.10247 cr capital cains tax: Tax tribunal ITAT,"retrospective tax, arbitration, Cairn Energy"
51,2017-03-11,The New Indian Express,Bureau,Cairn Energy directed to pay Rs 10.2K-cr to IT-Dept,"retrospective tax, arbitration, Cairn Energy"
52,2017-03-11,The Times Of India,Bureau,Retro tax ghost continues to haunt Cairn UK Holdings,"retrospective tax, arbitration, Cairn Energy"
53,2017-03-15,Business Standard, Dilasha Seth ,I-T to appeal against Rs 19k-cr relief to Cairn,"retrospective tax, arbitration"
54,2017-03-24,Business Standard, Dilasha Seth ,Tax rows cant be settled in global arbitration: Centre,"arbitration, Cairn plc, Cairn Energy"
55,2017-03-24,Business Standard, Dilasha Seth ,Tax rows can't be settled in global arbitration : Centre,"arbitration, Cairn Energy"
56,2017-03-27,Financial Chronicle,Bureau,"I-T offers to waive Vodafone, Cairn Indias interest liability","arbitration, Cairn Energy, retro tax"
57,2017-03-27,The Indian Express,Bureau,CBDT to waive interest if tax demand paid in retro cases,"retrospective tax, arbitration, Cairn Energy"
58,2017-03-27,The Financial Express,PTI,CBDT to waive interest if tax demand paid in retro cases,"retrospective tax, arbitration, Cairn Energy"
59,2017-03-27,The Statesman,PTI,Interest waiver in retro cases,"retrospective tax, arbitration, Cairn Energy"
60,2017-03-29,The Hitavada,PTI,"Cairn, Vedanta get all approvals for merger except RBI nod","arbitration, Cairn Energy"
61,2017-03-29,The Statesman,PTI,"Cairn, Vedanta get all approvals for merger except RBI nod","arbitration, Cairn Energy"
62,2017-03-29,Deccan Herald,PTI,"Cairn India, Vedanta get approvals for merger except RBI ratification",arbitration
63,2017-03-29,The Pioneer,PTI,"Cairn, Vedanta receive all approvals for merger except RBI nod","arbitration, Cairn Energy"
64,2017-04-03,The Free Press Journal,Bureau,"Tax dispute scheme gets tepid response, garners `1,200 crore","retrospective tax, arbitration, Cairn Energy, retro tax"
65,2017-04-03,Afternoon Voice,Bureau,"Govt's tax dispute scheme ends with a whimper, garners just Rs 1,200 cr","retrospective tax, arbitration, Cairn Energy, retro tax"
66,2017-04-03,Free Press,Bureau,"Tax dispute scheme gets tepid response, garners `1,200 crore","retrospective tax, arbitration, Cairn Energy, retro tax"
67,2017-04-03,The Hitavada,PTI,"Tax dispute scheme gets tepid response, garners Rs 1,200 cr","retrospective tax, arbitration, Cairn Energy, retro tax"
68,2017-04-10,The Hindu Business Line,Bureau,Indias bilateral investment pacts under cloud,arbitration
69,2017-04-10,Business Standard, Dilasha Seth & Jyoti Mukul,"Cairn faces Rs 10,000-crore tax pain","arbitration, Cairn Energy"
70,2017-04-10,The Economic Times,Bureau,"Cairn Faces Rs 10,200-cr New Tax Demand","retrospective tax, arbitration, Cairn Energy"
71,2017-04-10,Millennium Post,PTI,"Tax dept slaps fresh demand of Rs 10,247 cr on UK Cairn","retrospective tax, arbitration, Cairn Energy"
72,2017-04-10,Western Times,Bureau,"Cairn, Vedanta receive all approvals for merger except RBI nod","arbitration, Cairn Energy"
73,2017-04-10,The Economic Times,Bureau,"Cairn Gets Fresh Tax Demand of .Rs 10,200 cr","retrospective tax, arbitration, Cairn Energy"
74,2017-04-10,The Economic Times,Bureau,"Fresh Tax Demand of .Rs 10,200 Cr Made to Cairn","retrospective tax, arbitration, Cairn Energy"
75,2017-04-10,The Pioneer,PTI,"Tax deparment slaps fresh demand note of Rs10,247 cr on Cairn Energy","retrospective tax, arbitration, Cairn Energy"
76,2017-04-18,Financial Chronicle, Subhash Narayan,Third party audit must for oil & gas licence extension,arbitration
77,2017-04-19,The Economic Times,Author,Intellectually Challenging,"arbitration, Cairn Energy"
78,2017-04-20,The Telegraph,Bureau,Hurdles to EU trade pact,arbitration
79,2017-04-21,The Hindu Business Line,Bureau,"I-T dept slaps Rs 30,700-cr penalty on Cairn Energy for not paying tax","retrospective tax, arbitration, Cairn Energy"
80,2017-04-22,The Hindu Business Line, KR Srivats,Uncertainty continues over retrospective taxation,"arbitration, Cairn Energy"
81,2017-04-23,The Hindu, Raghavan Srinivasan,"Its a bad law, just dump it","retrospective tax, arbitration, Cairn Energy"
82,2017-04-27,The Asian Age,Bureau,Panel rules in favour of Cairn,"retrospective tax, arbitration, Cairn Energy"
83,2017-04-27,Financial Chronicle,Bureau,India loses bid to get five-year stay on Cairn Energy arbitration,"retrospective tax, arbitration, Cairn Energy"
84,2017-04-27,Mint, Gireesh Chandra Prasad,Cairn Energy tax arbitration not to be put on hold: panel,"retrospective tax, arbitration, Cairn Energy"
85,2017-04-27,Daily News & Analysis,Bureau,Cairn case: Indias stay plea rejected,"retrospective tax, arbitration, Cairn Energy"
86,2017-04-27,The Economic Times,Bureau,International Panel Rejects India Plea to Stay Cairn Energy Arbitration,"retrospective tax, arbitration, Cairn Energy"
87,2017-04-27,Business Standard,PTI,Panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
88,2017-04-27,Hindustan Times,Bureau,International panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
89,2017-04-27,The Free Press Journal,Agencies,"Setback to India, intl panel rejects stay on Cairn arbitration","retrospective tax, arbitration, Cairn Energy"
90,2017-04-27,The Financial Express,Bureau,Blow to India as intl panel rejects stay,"retrospective tax, arbitration, Cairn Energy"
91,2017-04-27,The Statesman,PTI,Setback to India : Internatiional panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
92,2017-04-27,Millennium Post,PTI,'World' panel rejects India's demand for stay on UK Cairn Energy arbitration,"retrospective tax, arbitration, Cairn Energy"
93,2017-04-27,The Times Of India,Agencies,Intl panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
94,2017-04-27,The Telegraph,PTI,Panel bins plea on Cairn case,"retrospective tax, arbitration, Cairn Energy"
95,2017-04-27,Business Standard,PTI,Setback for India as panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
96,2017-04-27,Deccan Herald,PTI,Panel rejects stay on Cairn arbitration,"arbitration, Cairn Energy"
97,2017-04-27,The Times Of India,Bureau,Int'l panel rejects stay on Cairn Energy arbitration,"retrospective tax, arbitration, Cairn Energy"
98,2017-04-27,Echo Of India,Associated Press,"Set back to India , stay on Cairn arbitration rejected","retrospective tax, arbitration, Cairn Energy"
99,2017-04-27,Deccan Chronicle,PTI,Panel rules in favour of Cairn,"retrospective tax, arbitration, Cairn Energy"
100,2017-04-27,The Economic Times,PTI,Intl Panel Rejects Indias Demand for Stay on Cairn Arbitration,"retrospective tax, arbitration, Cairn Energy"
101,2017-04-27,The Economic Times,PTI,Panel Rejects Indias Demand for Cairn Suit Participation,"retrospective tax, arbitration, Cairn Energy"
102,2017-04-27,Free Press,Agencies,"Setback to India, intl panel rejects stay on Cairn arbitration","retrospective tax, arbitration, Cairn Energy"
103,2017-04-27,Mail Today,PTI,India fails to get stay on Cairn tax case,"retrospective tax, arbitration, Cairn Energy"
104,2017-04-27,The Political & Business Daily,PTI,"Setback to India, international panel turns down stay on Cairn arbitration","retrospective tax, arbitration, Cairn Energy"
105,2017-04-27,The Statesman,PTI,Setback for India in Cairn case,"retrospective tax, arbitration, Cairn Energy"
106,2017-04-27,The Statesman,PTI,Setback to India: International panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
107,2017-04-27,The Times Of India,Agencies,Intl panel rejects Indias plea for stay on Cairn arbitration.,"retrospective tax, arbitration, Cairn Energy"
108,2017-04-28,The Financial Express,Editorial,"Cows, Cairn, and other bull","arbitration, Cairn Energy"
109,2017-04-29,The Hindu Business Line,Author,Trump lowers taxes; will other countries follow?,"arbitration, Cairn Energy"
110,2017-05-02,Financial Chronicle,Bureau,Cairn alleges dividend frozen to square off retro tax demand,"retrospective tax, arbitration, Cairn Energy"
111,2017-05-02,Daily News & Analysis,Bureau,Finmin official advised vedanta,"retrospective tax, arbitration, Cairn Energy"
112,2017-05-02,The Hindu Business Line,PTI,Cairn accuses Finance Ministry official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
113,2017-05-02,Mint,PTI,Cairn accuses finance ministry official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
114,2017-05-02,The Financial Express,Bureau,Cairn Energy writes to watchdog,"arbitration, Cairn Energy"
115,2017-05-02,Business Standard,PTI,Cairn accuses FinMin official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
116,2017-05-02,The Free Press Journal,Bureau,Cairn accuses finmin official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
117,2017-05-02,The Telegraph,PTI,Tension escalates in Cairn confrontation,"retrospective tax, arbitration, Cairn Energy"
118,2017-05-02,Deccan Herald,PTI,Cairn accuses FinMin official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
119,2017-05-02,The Economic Times,PTI,"Vedanta Withheld Dividend After Finmin Official's Advice, Cairn Tells Tribunal","retrospective tax, arbitration, Cairn Energy"
120,2017-05-02,Free Press,Agencies,Cairn accuses finmin official of ordering dividend freeze,"retrospective tax, arbitration, Cairn Energy"
121,2017-05-02,The Economic Times,Bureau,Vedanta Withheld Dividend Following FinMin Officials Advice: Cairn Tells Tribunal,"retrospective tax, arbitration, Cairn Energy"
122,2017-05-02,The Economic Times,Bureau,"Vedanta Withheld Dividend Following Finmin Officials Advice, Cairn Tells Tribunal","retrospective tax, arbitration, Cairn Energy"
123,2017-05-02,Business Standard,Bureau,Cairn accused FinMin official of ordering dividentd freeze,"retrospective tax, arbitration, Cairn Energy"
124,2017-05-03,Business Standard,Bureau,Cairn seeks Sebi help to retrieve dividend from Vedanta,"retrospective tax, arbitration, Cairn Energy"
125,2017-05-06,Business Today,Bureau,upfront,"retrospective tax, arbitration, Cairn Energy"
126,2017-05-08,Western Times,Bureau,Setback to India as inte'I panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
127,2017-05-08,Western Times,Bureau,IT dept to challenge ITAT relief to Cairn Energy in HC,"retrospective tax, arbitration, Cairn Energy"
128,2017-05-08,Western Times,Bureau,Setback to India as intel panel rejects stay on Cairn arbitration,"retrospective tax, arbitration, Cairn Energy"
129,2017-05-26,Business India,Bureau,Appeal on arbitration rejected,"retrospective tax, arbitration, Cairn Energy"
130,2017-06-01,Financial Chronicle,Editorial,Go private,"arbitration, Cairn Energy"
131,2017-06-05,The Hindu Business Line, KSENIA KONDRATIEVA,Finnish companies looking for new opportunities in India,arbitration
132,2017-06-09,The Hindu Business Line,Bureau,Cairn approaches international panel for injunction against I-T Department,"retrospective tax, arbitration, Cairn Energy"
133,2017-06-09,The Economic Times,Bureau,Cairn Moves Int'l Panel for Injunction Against I-T Dept,"retrospective tax, arbitration, Cairn Energy"
134,2017-06-09,The Statesman,PTI,Cairn moves global panel against Indian tax dept,"retrospective tax, arbitration, Cairn Energy"
135,2017-06-09,The Telegraph,Bureau,Cairn tax,"retrospective tax, arbitration, Cairn Energy"
136,2017-06-09,The Statesman,Bureau,Cairn seeks injunction against I-T depts move,"retrospective tax, arbitration, Cairn Energy"
